Close,High,Low,Open,Volume
NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS
50.45000076293945,50.45000076293945,48.5,49.900001525878906,182017
47.95000076293945,52.95000076293945,47.95000076293945,51.95000076293945,913175
45.599998474121094,46.0,45.599998474121094,45.599998474121094,57255
43.349998474121094,43.349998474121094,43.349998474121094,43.349998474121094,29173
41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,19826
39.150001525878906,39.150001525878906,39.150001525878906,39.150001525878906,27349
41.099998474121094,41.099998474121094,37.20000076293945,37.20000076293945,125498
40.70000076293945,41.599998474121094,39.04999923706055,39.04999923706055,113719
41.20000076293945,41.45000076293945,38.70000076293945,38.70000076293945,72700
40.70000076293945,41.20000076293945,39.150001525878906,39.150001525878906,29235
39.45000076293945,41.0,38.70000076293945,40.04999923706055,56633
39.20000076293945,41.0,37.5,38.5,48645
